Player,Pos,DOB,Total Fights,GP,G,A,P,PIM,PIM/GP,TOI/GP,PIM/TOI%,Pen Drawn,Pen Taken,Net Pen,Pen Drawn/60,Pen Taken/60,Net Pen/60,Minor,Major,Match,Msct,G Msct,S/C,Pos,DOB,DOB Year,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,1st Season Corrected,HOF,GP,G,A,P
Kyle Clifford,L,1991-01-13,96,741,65,77,142,881,1:11,10:12,11.7,192,254,-62,1.52,2.01,-0.49,151,91,1,9,2,L,L,1991-01-13,1991,Ayr,ON,CAN,CAN,74,214,2009,2,35,20102011,2010,N,741,65,77,142
Curt Fraser,L,1958-01-12,95,704,193,239,432,"1,306",1:51,--,--,--,433,--,--,--,--,322,90,1,16,4,L,L,1958-01-12,1958,Cincinnati,OH,USA,CAN,73,200,1978,2,22,19781979,1978,N,704,193,239,432
Randy Moller,D,1963-08-23,95,815,45,180,225,"1,692",2:04,--,--,--,593,--,--,--,--,472,94,1,16,10,R,D,1963-08-23,1963,Red Deer,AB,CAN,CAN,74,207,1981,1,11,19821983,1982,N,815,45,180,225
Laurie Boschman,C,1960-06-04,94,"1,009",229,348,577,"2,263",2:14,--,--,--,734,--,--,--,--,575,99,0,44,16,L,C,1960-06-04,1960,Major,SK,CAN,CAN,72,185,1979,1,9,19791980,1979,N,"1,009",229,348,577
Joel Otto,C,1961-10-29,94,943,195,313,508,"1,934",2:03,--,--,--,601,--,--,--,--,453,92,0,37,19,R,C,1961-10-29,1961,Elk River,MN,USA,USA,76,220,--,--,--,19841985,1984,N,943,195,313,508
Brendan Shanahan,L,1969-01-23,94,"1,524",656,698,"1,354","2,489",1:37,--,--,--,853,--,--,--,--,693,101,2,32,25,R,L,1969-01-23,1969,Mimico,ON,CAN,CAN,75,220,1987,1,2,19871988,1987,Y,"1,524",656,698,"1,354"
Arron Asham,R,1978-04-13,94,789,94,114,208,"1,004",1:16,10:05,12.6,--,315,--,--,--,--,207,98,0,7,3,R,R,1978-04-13,1978,Portage la Prairie,MB,CAN,CAN,71,210,1996,3,71,19981999,1998,N,789,94,114,208
John Kordic,R,1965-03-22,94,244,17,18,35,997,4:05,--,--,--,238,--,--,--,--,116,91,0,16,15,R,R,1965-03-22,1965,Edmonton,AB,CAN,CAN,74,210,1983,4,78,19851986,1985,N,244,17,18,35
Carol Vadnais,D,1945-09-25,93,"1,087",169,418,587,"1,811",1:39,--,--,--,663,--,--,--,--,546,91,2,20,4,L,D,1945-09-25,1945,Montreal,QC,CAN,CAN,73,185,--,--,--,19661967,1966,N,"1,087",169,418,587
Dan Maloney,L,1950-09-24,93,737,192,259,451,"1,489",2:01,--,--,--,463,--,--,--,--,332,99,0,23,9,L,L,1950-09-24,1950,Barrie,ON,CAN,CAN,74,195,1970,1,14,19701971,1970,N,737,192,259,451
Danny Gare,R,1954-05-14,93,827,354,331,685,"1,285",1:33,--,--,--,396,--,--,--,--,280,89,1,16,10,R,R,1954-05-14,1954,Nelson,BC,CAN,CAN,69,175,1974,2,29,19741975,1974,N,827,354,331,685
Jordin Tootoo,R,1983-02-02,93,723,65,96,161,"1,010",1:23,10:16,13.6,--,312,--,--,--,--,205,94,1,9,3,R,R,1983-02-02,1983,Churchill,MB,CAN,CAN,69,195,2001,4,98,20032004,2003,N,723,65,96,161
David Clarkson,R,1984-03-31,93,570,114,86,200,992,1:44,13:59,12.4,--,306,--,--,--,--,200,94,0,11,1,R,R,1984-03-31,1984,Toronto,ON,CAN,CAN,72,207,--,--,--,20062007,2006,N,570,114,86,200
Darin Kimble,R,1968-11-22,92,311,23,20,43,"1,082",3:28,--,--,--,258,--,--,--,--,131,90,1,27,9,R,R,1968-11-22,1968,Lucky Lake,SK,CAN,CAN,74,205,1988,4,66,19881989,1988,N,311,23,20,43
Eric Godard,R,1980-03-07,92,335,6,12,18,833,2:29,4:11,59.4,--,197,--,--,--,--,84,93,0,16,4,R,R,1980-03-07,1980,Vernon,BC,CAN,CAN,76,222,--,--,--,20022003,2002,N,335,6,12,18
Paul Holmgren,R,1955-12-02,91,527,144,179,323,"1,684",3:11,--,--,--,537,--,--,--,--,407,88,5,16,21,R,R,1955-12-02,1955,St. Paul,MN,USA,USA,75,210,1975,6,108,19751976,1975,N,527,144,179,323
Rudy Poeschek,D,1966-09-29,91,364,6,25,31,817,2:14,--,--,--,225,--,--,--,--,121,93,0,8,3,R,D,1966-09-29,1966,Kamloops,BC,CAN,CAN,74,220,1985,12,238,19871988,1987,N,364,6,25,31
Dennis Hextall,C,1943-04-17,89,681,153,350,503,"1,398",2:03,--,--,--,498,--,--,--,--,384,102,1,6,5,L,C,1943-04-17,1943,Winnipeg,MB,CAN,CAN,71,175,--,--,--,19681969,1968,N,681,153,350,503
Lindy Ruff,L,1960-02-17,89,691,105,195,300,"1,266",1:49,--,--,--,408,--,--,--,--,302,80,0,21,5,L,L,1960-02-17,1960,Warburg,AB,CAN,CAN,74,201,1979,2,32,19791980,1979,N,691,105,195,300
Lyndon Byers,R,1964-02-29,89,279,28,43,71,"1,081",3:52,--,--,--,270,--,--,--,--,148,87,0,24,11,R,R,1964-02-29,1964,Nipawin,SK,CAN,CAN,73,200,1982,2,39,19831984,1983,N,279,28,43,71
Cam Russell,D,1969-01-12,89,396,9,21,30,872,2:12,--,--,--,240,--,--,--,--,134,92,0,9,5,L,D,1969-01-12,1969,Halifax,NS,CAN,CAN,76,200,1987,3,50,19891990,1989,N,396,9,21,30
Paul Kruse,L,1970-03-15,89,423,38,33,71,"1,074",2:32,--,--,--,302,--,--,--,--,186,92,0,16,8,L,L,1970-03-15,1970,Merritt,BC,CAN,CAN,72,214,1990,4,83,19901991,1990,N,423,38,33,71
Eric Cairns,D,1974-06-27,89,457,10,32,42,"1,182",2:35,--,--,--,353,--,--,--,--,236,92,0,14,11,L,D,1974-06-27,1974,Oakville,ON,CAN,CAN,78,243,1992,3,72,19961997,1996,N,457,10,32,42
Colin Campbell,D,1953-01-28,88,636,25,103,128,"1,295",2:02,--,--,--,435,--,--,--,--,337,73,2,20,3,L,D,1953-01-28,1953,Toronto,ON,CAN,CAN,69,190,1973,2,27,19741975,1974,N,636,25,103,128
Milan Lucic,L,1988-06-07,88,"1,079",226,337,563,"1,243",1:09,15:20,7.5,--,380,--,--,--,--,266,87,2,18,7,L,L,1988-06-07,1988,Vancouver,BC,CAN,CAN,75,231,2006,2,50,20072008,2007,N,"1,079",226,337,563
Larry Playfair,D,1958-06-23,87,688,26,94,120,"1,814",2:38,--,--,--,587,--,--,--,--,455,86,0,37,9,L,D,1958-06-23,1958,Fort St. James,BC,CAN,CAN,75,216,1978,1,13,19781979,1978,N,688,26,94,120
Bill Guerin,R,1970-11-09,87,"1,263",429,427,856,"1,660",1:18,--,--,--,583,--,--,--,--,469,84,0,21,9,R,R,1970-11-09,1970,Worcester,MA,USA,USA,74,220,1989,1,5,19911992,1991,N,"1,263",429,427,856
Todd Simpson,D,1973-05-28,87,580,14,63,77,"1,357",2:20,--,--,--,457,--,--,--,--,345,91,2,12,7,L,D,1973-05-28,1973,North Vancouver,BC,CAN,CAN,75,220,--,--,--,19951996,1995,N,580,14,63,77
Bryan Marchment,D,1969-05-01,86,926,40,142,182,"2,307",2:29,--,--,--,787,--,--,--,--,633,101,2,21,30,L,D,1969-05-01,1969,Scarborough,ON,CAN,CAN,73,200,1987,1,16,19881989,1988,N,926,40,142,182
Zack Stortini,R,1985-09-11,86,257,14,27,41,725,2:49,8:03,35,--,181,--,--,--,--,85,81,0,14,1,R,R,1985-09-11,1985,Elliot Lake,ON,CAN,CAN,74,219,2003,3,94,20062007,2006,N,257,14,27,41
Joe Paterson,L,1960-06-25,85,291,19,37,56,831,2:51,--,--,--,207,--,--,--,--,106,79,1,15,6,L,L,1960-06-25,1960,Toronto,ON,CAN,CAN,74,207,1979,5,87,19801981,1980,N,291,19,37,56
Brian Curran,D,1963-11-05,85,381,7,33,40,"1,461",3:50,--,--,--,406,--,--,--,--,274,83,0,38,11,L,D,1963-11-05,1963,Toronto,ON,CAN,CAN,76,230,1982,2,22,19831984,1983,N,381,7,33,40
Matt Hendricks,C,1981-06-17,85,607,54,62,116,722,1:11,11:32,10.3,--,231,--,--,--,--,149,80,0,1,1,L,C,1981-06-17,1981,Blaine,MN,USA,USA,72,211,2000,5,131,20082009,2008,N,607,54,62,116
Mark Hunter,R,1962-11-12,84,628,213,170,383,"1,426",2:16,--,--,--,472,--,--,--,--,362,82,1,17,10,R,R,1962-11-12,1962,Petrolia,ON,CAN,CAN,72,200,1981,1,7,19811982,1981,N,628,213,170,383
Dean Kennedy,D,1963-01-18,84,717,26,110,136,"1,118",1:33,--,--,--,352,--,--,--,--,249,82,0,13,8,R,D,1963-01-18,1963,Redvers,SK,CAN,CAN,74,212,1981,2,39,19821983,1982,N,717,26,110,136
Gary Roberts,L,1966-05-23,84,"1,224",438,472,910,"2,560",2:05,--,--,--,839,--,--,--,--,671,94,1,47,26,L,L,1966-05-23,1966,North York,ON,CAN,CAN,74,215,1984,1,12,19861987,1986,N,"1,224",438,472,910
Dennis Vial,L,1969-04-10,84,242,4,15,19,794,3:16,--,--,--,216,--,--,--,--,117,86,0,10,3,L,L,1969-04-10,1969,Sault Ste. Marie,ON,CAN,CAN,73,220,1988,6,110,19901991,1990,N,242,4,15,19
Turner Stevenson,R,1972-05-18,84,644,75,115,190,969,1:30,--,--,--,315,--,--,--,--,217,89,0,5,4,R,R,1972-05-18,1972,Prince George,BC,CAN,CAN,75,230,1990,1,12,19921993,1992,N,644,75,115,190
Ryan Vandenbussche,R,1973-02-28,84,310,10,10,20,702,2:15,--,--,--,188,--,--,--,--,91,90,0,4,3,R,R,1973-02-28,1973,Simcoe,ON,CAN,CAN,72,200,1992,8,173,19961997,1996,N,310,10,10,20
Chris Dingman,L,1976-07-06,84,385,15,19,34,769,1:59,7:30,26.6,--,205,--,--,--,--,107,85,1,7,5,L,L,1976-07-06,1976,Edmonton,AB,CAN,CAN,76,244,1994,1,19,19971998,1997,N,385,15,19,34
Tom Wilson,R,1994-03-29,84,632,111,156,267,"1,201",1:54,14:24,13.2,350,376,-26,2.31,2.48,-0.17,272,77,2,22,3,R,R,1994-03-29,1994,Toronto,ON,CAN,CAN,76,220,2012,1,16,20132014,2013,N,633,112,156,268
Harold Snepsts,D,1954-10-24,83,"1,033",38,195,233,"2,009",1:56,--,--,--,646,--,--,--,--,504,85,0,40,17,L,D,1954-10-24,1954,Edmonton,AB,CAN,CAN,75,210,1974,4,59,19741975,1974,N,"1,033",38,195,233
Perry Anderson,L,1961-10-14,83,400,50,59,109,"1,051",2:37,--,--,--,311,--,--,--,--,207,83,0,12,9,L,L,1961-10-14,1961,Barrie,ON,CAN,CAN,73,225,1980,6,117,19811982,1981,N,400,50,59,109
Jamie Huscroft,D,1967-01-09,83,352,5,33,38,"1,065",3:01,--,--,--,314,--,--,--,--,205,87,0,16,6,R,D,1967-01-09,1967,Creston,BC,CAN,CAN,75,206,1985,9,171,19881989,1988,N,352,5,33,38
Reed Low,R,1976-06-21,83,256,3,16,19,725,2:49,5:53,48.1,--,170,--,--,--,--,70,83,0,9,8,R,R,1976-06-21,1976,Moose Jaw,SK,CAN,CAN,76,220,1996,7,177,20002001,2000,N,256,3,16,19
Tanner Glass,L,1983-11-29,83,527,24,45,69,658,1:14,10:15,12.2,--,182,--,--,--,--,98,76,0,4,4,L,L,1983-11-29,1983,Regina,SK,CAN,CAN,73,213,2003,9,265,20072008,2007,N,527,24,45,69
Dennis Polonich,C,1953-12-04,82,390,59,82,141,"1,242",3:11,--,--,--,385,--,--,--,--,272,88,0,15,10,R,C,1953-12-04,1953,Foam Lake,SK,CAN,CAN,66,166,1973,8,118,19741975,1974,N,390,59,82,141
Glen Cochrane,D,1958-01-29,82,411,17,72,89,"1,556",3:47,--,--,--,450,--,--,--,--,318,82,0,31,19,L,D,1958-01-29,1958,Kamloops,BC,CAN,CAN,72,210,1978,3,50,19781979,1978,N,411,17,72,89
Neil Sheehy,D,1960-02-09,82,379,18,47,65,"1,316",3:28,--,--,--,392,--,--,--,--,279,76,0,34,3,R,D,1960-02-09,1960,Fort Frances,ON,CAN,USA,74,214,--,--,--,19831984,1983,N,379,18,47,65
Troy Mallette,L,1970-02-25,82,456,51,68,119,"1,226",2:41,--,--,--,345,--,--,--,--,221,92,2,19,11,L,L,1970-02-25,1970,Sudbury,ON,CAN,CAN,75,219,1988,2,22,19891990,1989,N,456,51,68,119
Darcy Tucker,R,1975-03-15,82,947,215,261,476,"1,410",1:29,--,--,--,438,--,--,--,--,320,82,1,20,15,L,R,1975-03-15,1975,Castor,AB,CAN,CAN,70,178,1993,6,151,19951996,1995,N,947,215,261,476
Mike Rupp,L,1980-01-13,82,610,54,45,99,855,1:24,8:41,16.1,--,266,--,--,--,--,175,81,1,6,3,L,L,1980-01-13,1980,Cleveland,OH,USA,USA,77,235,2000,3,76,20022003,2002,N,610,54,45,99
Travis Moen,L,1982-04-06,82,747,59,77,136,801,1:04,13:13,8.1,--,243,--,--,--,--,157,75,0,8,3,L,L,1982-04-06,1982,Stewart Valley,SK,CAN,CAN,74,215,2000,5,155,20032004,2003,N,747,59,77,136
Jason Wiemer,C,1976-04-14,81,726,90,112,202,"1,420",1:57,--,--,--,478,--,--,--,--,364,90,1,17,6,L,C,1976-04-14,1976,Kimberley,BC,CAN,CAN,73,225,1994,1,8,19941995,1994,N,726,90,112,202
Terry Carkner,D,1966-03-07,80,858,42,188,230,"1,588",1:51,--,--,--,532,--,--,--,--,412,88,2,18,12,L,D,1966-03-07,1966,Smiths Falls,ON,CAN,CAN,75,210,1984,1,14,19861987,1986,N,858,42,188,230
Rich Pilon,D,1968-04-30,80,631,8,69,77,"1,745",2:45,--,--,--,597,--,--,--,--,473,89,2,20,13,L,D,1968-04-30,1968,Saskatoon,SK,CAN,CAN,74,214,1986,7,143,19881989,1988,N,631,8,69,77
Enrico Ciccone,D,1970-04-10,80,374,10,18,28,"1,469",3:55,--,--,--,419,--,--,--,--,287,85,2,27,18,L,D,1970-04-10,1970,Montreal,QC,CAN,CAN,77,222,1990,5,92,19911992,1991,N,374,10,18,28
Grant Marshall,R,1973-06-09,80,700,92,147,239,793,1:07,--,--,--,256,--,--,--,--,169,83,1,2,1,R,R,1973-06-09,1973,Mississauga,ON,CAN,CAN,73,200,1992,1,23,19941995,1994,N,700,92,147,239
Andrew Peters,L,1980-05-05,80,229,4,3,7,650,2:50,3:52,73.3,--,144,--,--,--,--,49,80,0,13,2,L,L,1980-05-05,1980,St. Catharines,ON,CAN,CAN,76,240,1998,2,34,20032004,2003,N,229,4,3,7
Andre Dupont,D,1949-07-27,79,810,59,185,244,"1,986",2:27,--,--,--,744,--,--,--,--,634,78,0,17,15,L,D,1949-07-27,1949,Trois-Rivières,QC,CAN,CAN,72,200,1969,1,8,19701971,1970,N,810,59,185,244
Scott Thornton,L,1971-01-09,79,941,144,141,285,"1,459",1:33,--,--,--,472,--,--,--,--,354,87,0,19,12,L,L,1971-01-09,1971,London,ON,CAN,CAN,75,220,1989,1,3,19901991,1990,N,941,144,141,285
Dave Hutchison,D,1952-05-02,78,584,19,97,116,"1,550",2:39,--,--,--,470,--,--,--,--,342,84,1,20,23,L,D,1952-05-02,1952,London,ON,CAN,CAN,75,205,1972,3,36,19741975,1974,N,584,19,97,116
Steve Smith,D,1963-04-30,78,804,72,303,375,"2,139",2:39,--,--,--,759,--,--,--,--,626,89,0,26,18,L,D,1963-04-30,1963,Glasgow,--,GBR,GBR,76,215,1981,6,111,19841985,1984,N,804,72,303,375
Rich Sutter,R,1963-12-02,78,874,149,166,315,"1,411",1:36,--,--,--,491,--,--,--,--,388,81,0,18,4,R,R,1963-12-02,1963,Viking,AB,CAN,CAN,71,188,1982,1,10,19821983,1982,N,874,149,166,315
Keith Magnuson,D,1947-04-27,78,589,14,125,139,"1,440",2:26,--,--,--,505,--,--,--,--,407,72,1,21,4,R,D,1947-04-27,1947,Saskatoon,SK,CAN,CAN,72,185,--,--,--,19691970,1969,N,589,14,125,139
Nick Kypreos,L,1966-06-04,78,442,46,44,90,"1,210",2:44,--,--,--,335,--,--,--,--,215,84,2,23,11,L,L,1966-06-04,1966,Toronto,ON,CAN,CAN,72,210,--,--,--,19891990,1989,N,442,46,44,90
Steve McKenna,L,1973-08-21,78,373,18,14,32,824,2:12,--,--,--,202,--,--,--,--,97,84,0,13,8,L,L,1973-08-21,1973,Toronto,ON,CAN,CAN,80,252,--,--,--,19961997,1996,N,373,18,14,32
Ryan Reaves,R,1987-01-20,78,742,51,60,111,974,1:18,8:46,15,194,259,-65,1.79,2.39,-0.6,154,78,0,18,9,R,R,1987-01-20,1987,Winnipeg,MB,CAN,CAN,74,225,2005,5,156,20102011,2010,N,742,51,60,111
Shawn Cronin,D,1963-08-20,77,292,3,18,21,877,3:00,--,--,--,271,--,--,--,--,181,77,0,4,9,L,D,1963-08-20,1963,Joliet,IL,USA,USA,74,225,--,--,--,19881989,1988,N,292,3,18,21
Keith Primeau,C,1971-11-24,77,909,266,353,619,"1,541",1:41,--,--,--,531,--,--,--,--,418,85,0,14,14,L,C,1971-11-24,1971,Toronto,ON,CAN,CAN,77,220,1990,1,3,19901991,1990,N,909,266,353,619
Zdeno Chara,D,1977-03-18,77,"1,663",207,469,676,"2,077",1:14,23:32,5.3,--,801,--,--,--,--,695,77,0,25,4,L,D,1977-03-18,1977,Trencin,--,SVK,SVK,81,250,1996,3,56,19971998,1997,N,"1,663",207,469,676
Gerald Diduck,D,1965-04-06,76,932,56,156,212,"1,612",1:43,--,--,--,578,--,--,--,--,474,76,1,16,11,R,D,1965-04-06,1965,Edmonton,AB,CAN,CAN,73,216,1983,1,16,19841985,1984,N,932,56,156,212
Cam Neely,R,1965-06-06,76,726,395,299,694,"1,241",1:42,--,--,--,434,--,--,--,--,339,81,1,5,8,R,R,1965-06-06,1965,Comox,BC,CAN,CAN,73,218,1983,1,9,19831984,1983,Y,726,395,299,694
Dave Manson,D,1967-01-27,76,"1,103",102,288,390,"2,792",2:31,--,--,--,983,--,--,--,--,829,82,5,44,23,L,D,1967-01-27,1967,Prince Albert,SK,CAN,CAN,74,220,1985,1,11,19861987,1986,N,"1,103",102,288,390
Doug Zmolek,D,1970-11-03,76,467,11,53,64,905,1:56,--,--,--,281,--,--,--,--,189,79,0,6,7,L,D,1970-11-03,1970,Rochester,MN,USA,USA,74,220,1989,1,7,19921993,1992,N,467,11,53,64
Sean Avery,L,1980-04-10,76,580,90,157,247,"1,533",2:38,12:55,20.5,--,490,--,--,--,--,372,79,0,26,13,L,L,1980-04-10,1980,North York,ON,CAN,CAN,70,195,--,--,--,20012002,2001,N,580,90,157,247
Micheal Haley,L,1986-03-30,76,274,11,21,32,692,2:31,7:52,32.1,131,166,-35,3.64,4.62,-0.97,75,74,1,14,2,L,L,1986-03-30,1986,Guelph,ON,CAN,CAN,71,213,--,--,--,20092010,2009,N,274,11,21,32
Mike Milbury,D,1952-06-17,75,754,49,189,238,"1,552",2:03,--,--,--,539,--,--,--,--,439,68,1,19,12,L,D,1952-06-17,1952,Brighton,MA,USA,USA,73,205,--,--,--,19751976,1975,N,754,49,189,238
Darcy Rota,L,1953-02-16,75,794,256,239,495,973,1:13,--,--,--,345,--,--,--,--,264,73,0,6,2,L,L,1953-02-16,1953,Vancouver,BC,CAN,CAN,71,180,1973,1,13,19731974,1973,N,794,256,239,495
Doug Risebrough,C,1954-01-29,75,740,185,286,471,"1,542",2:05,--,--,--,515,--,--,--,--,410,68,0,26,11,--,C,1954-01-29,1954,Guelph,ON,CAN,CAN,70,178,1974,1,7,19741975,1974,N,740,185,286,471
Behn Wilson,D,1958-12-19,75,601,98,261,359,"1,480",2:27,--,--,--,480,--,--,--,--,365,80,1,22,12,--,D,1958-12-19,1958,Toronto,ON,CAN,CAN,74,209,1978,1,6,19781979,1978,N,601,98,261,359
Matt Bradley,R,1978-06-13,75,675,59,90,149,562,0:49,10:42,7.8,--,155,--,--,--,--,76,76,0,2,1,R,R,1978-06-13,1978,Stittsville,ON,CAN,CAN,75,200,1996,4,102,20002001,2000,N,675,59,90,149
Rod Buskas,D,1961-01-07,74,556,19,63,82,"1,294",2:19,--,--,--,447,--,--,--,--,350,78,1,13,5,R,D,1961-01-07,1961,Wetaskiwin,AB,CAN,CAN,73,206,1981,6,112,19821983,1982,N,556,19,63,82
Owen Nolan,R,1972-02-12,74,"1,200",422,463,885,"1,793",1:29,--,--,--,663,--,--,--,--,553,83,2,11,14,R,R,1972-02-12,1972,Belfast,--,GBR,CAN,73,214,1990,1,1,19901991,1990,N,"1,200",422,463,885
Jarome Iginla,R,1977-07-01,74,"1,554",625,675,"1,300","1,040",0:40,--,--,--,390,--,--,--,--,313,72,0,4,1,R,R,1977-07-01,1977,Edmonton,AB,CAN,CAN,73,210,1995,1,11,19961997,1996,Y,"1,554",625,675,"1,300"
Gord Lane,D,1953-03-31,72,539,19,94,113,"1,228",2:16,--,--,--,421,--,--,--,--,327,76,0,11,7,L,D,1953-03-31,1953,Brandon,MB,CAN,CAN,73,190,1973,9,134,19751976,1975,N,539,19,94,113
Kevin Dineen,R,1963-10-28,72,"1,188",355,405,760,"2,229",1:52,--,--,--,838,--,--,--,--,719,81,1,22,15,R,R,1963-10-28,1963,Quebec City,QC,CAN,CAN,71,190,1982,3,56,19841985,1984,N,"1,188",355,405,760
Brian McGrattan,R,1981-09-02,72,317,10,17,27,609,1:55,4:54,39.2,--,136,--,--,--,--,47,75,0,12,2,R,R,1981-09-02,1981,Hamilton,ON,CAN,CAN,76,235,1999,4,104,20052006,2005,N,317,10,17,27
Gregory Campbell,C,1983-12-17,72,803,71,116,187,696,0:52,12:31,6.9,--,219,--,--,--,--,144,70,0,5,0,L,C,1983-12-17,1983,London,ON,CAN,CAN,72,188,2002,3,67,20032004,2003,N,803,71,116,187
Jack McIlhargey,D,1952-03-07,71,393,11,36,47,"1,102",2:48,--,--,--,315,--,--,--,--,214,70,2,11,18,L,D,1952-03-07,1952,Edmonton,AB,CAN,CAN,72,190,--,--,--,19741975,1974,N,393,11,36,47
Reed Larson,D,1956-07-30,71,904,222,463,685,"1,388",1:32,--,--,--,524,--,--,--,--,436,74,1,10,3,R,D,1956-07-30,1956,Minneapolis,MN,USA,USA,72,195,1976,2,22,19761977,1976,N,904,222,463,685
Randy Holt,D,1953-01-15,70,395,4,37,41,"1,438",3:38,--,--,--,402,--,--,--,--,279,72,1,34,16,R,D,1953-01-15,1953,Pembroke,ON,CAN,CAN,71,185,1973,3,45,19741975,1974,N,395,4,37,41
Dave Taylor,R,1955-12-04,70,"1,111",431,638,"1,069","1,589",1:25,--,--,--,578,--,--,--,--,478,75,0,19,6,R,R,1955-12-04,1955,Levack,ON,CAN,CAN,72,195,1975,15,210,19771978,1977,N,"1,111",431,638,"1,069"
Jim Korn,D,1957-07-28,70,597,66,122,188,"1,801",3:01,--,--,--,499,--,--,--,--,351,79,0,46,23,L,D,1957-07-28,1957,Hopkins,MN,USA,USA,76,220,1977,5,73,19791980,1979,N,597,66,122,188
Bob Rouse,D,1964-06-18,70,"1,061",37,181,218,"1,561",1:28,--,--,--,599,--,--,--,--,511,69,1,12,6,R,D,1964-06-18,1964,Surrey,BC,CAN,CAN,74,220,1982,4,80,19831984,1983,N,"1,061",37,181,218
Mark Tinordi,D,1966-05-09,70,663,52,148,200,"1,514",2:17,--,--,--,476,--,--,--,--,361,72,0,28,15,L,D,1966-05-09,1966,Red Deer,AB,CAN,CAN,76,213,--,--,--,19871988,1987,N,663,52,148,200
Steven Finn,D,1966-08-20,70,725,34,78,112,"1,724",2:22,--,--,--,614,--,--,--,--,505,78,0,19,12,L,D,1966-08-20,1966,Laval,QC,CAN,CAN,72,198,1984,3,57,19851986,1985,N,725,34,78,112
Scott Hartnell,L,1982-04-18,70,"1,249",327,380,707,"1,809",1:26,15:38,9.3,--,672,--,--,--,--,569,73,0,23,7,L,L,1982-04-18,1982,Regina,SK,CAN,CAN,74,215,2000,1,6,20002001,2000,N,"1,249",327,380,707
Wayne Simmonds,R,1988-08-26,70,"1,007",262,260,522,"1,221",1:12,15:27,7.8,--,391,--,--,--,--,292,69,1,22,6,R,R,1988-08-26,1988,Scarborough,ON,CAN,CAN,75,180,2007,2,61,20082009,2008,N,"1,007",262,260,522
Jim Nill,R,1958-04-11,69,524,58,87,145,854,1:37,--,--,--,275,--,--,--,--,197,64,0,7,7,R,R,1958-04-11,1958,Hanna,AB,CAN,CAN,72,185,1978,6,89,19811982,1981,N,524,58,87,145
David Maley,L,1963-04-24,69,466,43,81,124,"1,043",2:14,--,--,--,297,--,--,--,--,199,67,1,18,12,L,L,1963-04-24,1963,Beaver Dam,WI,USA,USA,74,195,1982,2,33,19851986,1985,N,466,43,81,124
Joe Cirella,D,1963-05-09,69,828,64,211,275,"1,446",1:44,--,--,--,547,--,--,--,--,461,70,0,9,7,R,D,1963-05-09,1963,Hamilton,ON,CAN,CAN,75,210,1981,1,5,19811982,1981,N,828,64,211,275
Steve Thomas,R,1963-07-15,69,"1,235",421,512,933,"1,306",1:03,--,--,--,437,--,--,--,--,338,74,1,14,10,L,R,1963-07-15,1963,Stockport,--,GBR,CAN,71,185,--,--,--,19841985,1984,N,"1,235",421,512,933
Chris Stewart,R,1987-10-30,69,668,160,162,322,750,1:07,13:53,8.1,--,223,--,--,--,--,144,66,0,12,1,R,R,1987-10-30,1987,Toronto,ON,CAN,CAN,74,242,2006,1,18,20082009,2008,N,668,160,162,322
Reg Fleming,D,1936-04-21,68,749,108,132,240,"1,470",1:57,--,--,--,483,--,--,--,--,375,72,2,24,10,L,D,1936-04-21,1936,Montreal,QC,CAN,CAN,68,170,--,--,--,19591960,1959,N,749,108,132,240
Perry Turnbull,C,1959-03-09,68,608,188,163,351,"1,247",2:03,--,--,--,343,--,--,--,--,231,69,0,33,10,L,C,1959-03-09,1959,Bentley,AB,CAN,CAN,74,200,1979,1,2,19791980,1979,N,608,188,163,351
Dave Semenko,L,1957-07-12,68,575,65,88,153,"1,175",2:02,--,--,--,304,--,--,--,--,190,71,2,18,23,L,L,1957-07-12,1957,Winnipeg,MB,CAN,CAN,74,216,1977,2,25,19791980,1979,N,575,65,88,153
Troy Loney,L,1963-09-21,68,624,87,110,197,"1,093",1:45,--,--,--,321,--,--,--,--,222,69,1,22,7,L,L,1963-09-21,1963,Bow Island,AB,CAN,CAN,75,209,1982,3,52,19831984,1983,N,624,87,110,197
Dana Murzyn,D,1966-12-09,68,838,52,152,204,"1,571",1:52,--,--,--,554,--,--,--,--,450,75,1,18,10,L,D,1966-12-09,1966,Calgary,AB,CAN,CAN,74,208,1985,1,5,19851986,1985,N,838,52,152,204
Stan Jonathan,L,1955-09-05,67,411,91,110,201,751,1:49,--,--,--,248,--,--,--,--,178,61,1,4,4,L,L,1955-09-05,1955,Ohsweken,ON,CAN,CAN,68,175,1975,5,86,19751976,1975,N,411,91,110,201
Mario Marois,D,1957-12-15,67,956,76,357,433,"1,746",1:49,--,--,--,607,--,--,--,--,497,72,5,19,14,R,D,1957-12-15,1957,L'Ancienne-Lorette,QC,CAN,CAN,71,190,1977,4,62,19771978,1977,N,956,76,357,433
Ed Hospodar,D,1959-02-09,67,450,17,51,68,"1,314",2:55,--,--,--,363,--,--,--,--,251,64,1,27,20,R,D,1959-02-09,1959,Bowling Green,OH,USA,USA,74,210,1979,2,34,19791980,1979,N,450,17,51,68
Stephen Leach,R,1966-01-16,67,702,130,153,283,976,1:23,--,--,--,329,--,--,--,--,247,68,0,10,4,R,R,1966-01-16,1966,Cambridge,MA,USA,USA,71,199,1984,2,34,19851986,1985,N,702,130,153,283
